Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Big data con un café,"¿Necesitas dar tus primeros pasos con big data? Mientras te tomas un café, estos 4 vídeos te ayudarán a comprender las claves más importantes y a dar los primeros pasos a la hora de entender big data o macrodatos, ya que su uso es imprescindible hoy para empresas de todos los calibres para descubrir tendencias, mejorar sus productos y definir flujos de trabajo mucho más efectivos.
<br><br>
Estos cuatro vídeos corresponden a los cursos:<br><br>

<li><a href=""https://www.linkedin.com/learning/fundamentos-de-big-data/big-data-en-el-mundo-de-la-empresa"" target=""_blank"">Fundamentos de big data</a></li>
<li><a href=""https://www.linkedin.com/learning/aprende-big-data-analisis-de-datos/el-poder-de-los-datos-y-la-informacion-2"" target=""_blank"">El poder de los datos y la información</a></li>
<li><a href=""https://www.linkedin.com/learning/big-data-equipos-y-soluciones-para-la-empresa/quien-compone-un-equipo-de-big-data"" target=""_blank"">Big data: equipos y soluciones para la empresa</a></li>
<li><a href=""https://www.linkedin.com/learning/aprende-big-data-analisis-de-datos/desafios-para-la-organizacion-2"" target=""_blank"">Desafíos para la organización</a></li>",Course,2021-03-19 19:24 UTC,N/A,false,N/A,
Google Hojas de cálculo esencial,"Hojas de cálculo de Google se ha convertido en una de las funcionalidades más interesantes de toda la suite del buscador. En este curso conseguirás sacarle el máximo partido conociendo todas sus características de forma amena y paso a paso. Aprenderás a partir de cero con una hoja de cálculo y conseguirás dominar desde las fórmulas más comunes y a las más complejas. Descubrirás la importancia que tienen el acceso y la organización multidispositivo para el trabajo colaborativo y, al terminar, estarás preparado para adoptar la herramienta el día a día de tu empresa.",Course,2023-05-15 12:34 UTC,N/A,false,N/A,
Excel para principiantes: Tablas dinámicas (365/2019),"En este curso de Excel para principiantes aprenderás a crear tus primeras tablas dinámicas. Esta poderosa herramienta de Excel hace que ahorres muchísimo tiempo a la hora de completar tareas para las que normalmente aplicas fórmulas complicadas. El curso se divide en dos bloques. Primero veremos cómo crear una tabla y las áreas donde colocar cada uno de los campos. A continuación, veremos cómo filtrar y ordenar la información y dar formato al informe. Finalmente, aprenderás a utilizar los filtros rápidos mediante botones, lo que conocemos como segmentación de datos, y por supuesto a utilizar la línea de tiempo, que te ahorrará mucho trabajo al filtrar por campos de fecha.",Course,2023-05-18 12:08 UTC,N/A,false,N/A,
Angular avanzado: Trabajo con API,"Comprende cómo funciona una API (interfaz de programación de aplicaciones) y cómo controlarla desde Angular, uno de los framework JavaScript más utilizados y respetados del mundo. Aprende en este curso usando una aplicación real que puedes utilizar como base para tus proyectos personales utilizando Angular, famoso en gran parte debido a su facilidad de integración con APIs.",Course,2023-06-26 12:11 UTC,N/A,false,N/A,
