Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Técnicas avanzadas de resolución de conflictos,"Cuando tenemos un conflicto con otra persona o personas, solemos estar muy metidos en nuestra perspectiva. Aprender a adoptar la perspectiva de otro, o una que proporcione neutralidad, te permitirá adquirir más información sobre la situación e, incluso, encontrar la solución a dicho conflicto. Este curso te enseñará técnicas de gestión de conflictos en base a modificar tus filtros internos para ver la situación de forma diferente, adquirir empatía con otra persona u obtener una mayor neutralidad.",Course,2023-10-25 21:01 UTC,N/A,false,N/A,
Excel: Tablas dinámicas (Office 365/Microsoft 365),"En este curso de Excel sobre tablas dinámicas, te enseñaremos a generar tablas dinámicas desde cero y acabaremos creando tablas dinámicas desde varias hojas de cálculo relacionadas. Prepararemos los datos antes de analizarlos y les daremos formato de tabla para que sean más operativos. Veremos cómo ordenar, agrupar, cambiar la operación de resumen y crear campos y elementos calculados en la tabla dinámica. Además, aprenderemos a filtrar los datos con un clic de ratón mediante el uso de segmentación y líneas de tiempo. También prepararemos el diseño del informe y actualizaremos la tabla dinámica. Después de este curso, manejarás las tablas dinámicas de manera experta.",Course,2023-12-22 20:28 UTC,N/A,false,N/A,
Tableau: Domina todos los gráficos,"Amplía y expande tus conocimientos de Tableau, un software de referencia en el análisis e inteligencia de negocios. Durante este contenido aprenderás todo lo que tiene para ofrecer esta herramienta a la hora de visualizar datos. Harás un recorrido en profundidad por los gráficos más conocidos y sus variantes para aprender a sacarles todo el partido. Descubrirás las infinitas posibilidades que ofrecen los gráficos menos comunes y serás capaz de elegir el gráfico que mejor representa la historia que quieres contar con tus datos.",Course,2023-11-23 19:40 UTC,N/A,false,N/A,
"Recursos humanos y el futuro del trabajo: Upskill, reskill y habilidades del futuro","La reconversión laboral es una herramienta clave para la empleabilidad de las personas y para renovar las capacidades organizacionales. A lo largo de la historia, los avances tecnológicos han requerido la readecuación del empleo a través del aprendizaje de nuevas habilidades y conocimientos. Hoy las organizaciones necesitan una estrategia de reconversión de su fuerza laboral para cubrir sus necesidades y retener a sus talentos, y por otro lado los profesionales deben ser aprendices de por vida para actualizar sus capacidades y asegurar su empleabilidad futura. Conoce aquí qué son el «upskilling», «reskilling» y las habilidades del futuro.",Course,2023-10-09 20:55 UTC,N/A,false,N/A,
Excel para principiantes: Tablas dinámicas (365/2019),"En este curso de Excel para principiantes aprenderás a crear tus primeras tablas dinámicas. Esta poderosa herramienta de Excel hace que ahorres muchísimo tiempo a la hora de completar tareas para las que normalmente aplicas fórmulas complicadas. El curso se divide en dos bloques. Primero veremos cómo crear una tabla y las áreas donde colocar cada uno de los campos. A continuación, veremos cómo filtrar y ordenar la información y dar formato al informe. Finalmente, aprenderás a utilizar los filtros rápidos mediante botones, lo que conocemos como segmentación de datos, y por supuesto a utilizar la línea de tiempo, que te ahorrará mucho trabajo al filtrar por campos de fecha.",Course,2023-09-04 18:52 UTC,N/A,false,N/A,
