Date,Type,Link
2023-11-23 19:41:23,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7133206391300706304
2023-11-23 19:41:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7133196952279658497
2023-11-23 19:40:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7133243618143711232
2023-11-23 19:36:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7133536580996059136
2023-11-23 19:35:16,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7133196692325085184
2023-11-21 18:45:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7131251605064028160
2023-11-21 18:43:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7132411572118769664
2023-11-15 19:25:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7130532392858976256
2023-11-15 19:22:12,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7130273901841895424
2023-11-09 19:55:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7118248093199810560
2023-11-09 19:20:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127267857763028993
2023-11-09 19:12:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7128107507406749698
2023-11-09 19:11:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7125927041576689664
2023-11-09 19:11:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7115443679351205888
2023-11-09 19:04:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7128371992197537793
2023-11-08 20:53:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13927947-7128121351113981952
2023-11-08 20:05:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7128067222974967808
2023-11-08 20:01:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7128090300333367296
2023-11-06 20:09:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7125586300857966593
2023-11-06 20:02:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119835224460423168
2023-11-06 20:02:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7123320334195302401
