Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2024-01-02 20:58:51,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3732032-7148055061892440064,"🌟 ¡Excelente oportunidad laboral en Cosys Global! 🌐 Estamos emocionados de buscar un Analista E-Commerce apasionado y lleno de energía para sumarse a nuestro equipo en Tandil y AMBA. 💼""
""""
""Ofrecemos un entorno de trabajo estimulante, oportunidades de desarrollo profesional y la posibilidad de formar parte de un equipo comprometido con el éxito. 👥""
""""
""¿Estás listo para dar el siguiente paso en tu carrera? ¡Únete a nosotros y sé parte de la revolución digital en Cosys Global! 🌈✨""
""""
""Postulate en los siguientes links 👇 ""
""""
""AMBA 👉 https://lnkd.in/dqSb9KVJ""
""TANDIL 👉 https://lnkd.in/dPKmpKsn""
""""
"" #CosysHiring #BusquedaDeEmpleo #Empleoit #Cosys #Tandil #AMBA #AnalistaECommerce #InnovaciónDigital #CrecimientoProfesional",,,MEMBER_NETWORK
2024-01-02 20:58:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7148054959278772224,"🌟 ¡Excelente oportunidad laboral en Cosys Global! 🌐 Estamos emocionados de buscar un Analista E-Commerce apasionado y lleno de energía para sumarse a nuestro equipo en Tandil y AMBA. 💼""
""""
""Ofrecemos un entorno de trabajo estimulante, oportunidades de desarrollo profesional y la posibilidad de formar parte de un equipo comprometido con el éxito. 👥""
""""
""¿Estás listo para dar el siguiente paso en tu carrera? ¡Únete a nosotros y sé parte de la revolución digital en Cosys Global! 🌈✨""
""""
""Postulate en los siguientes links 👇 ""
""""
""AMBA 👉 https://lnkd.in/dqSb9KVJ""
""TANDIL 👉 https://lnkd.in/dPKmpKsn""
""""
"" #CosysHiring #BusquedaDeEmpleo #Empleoit #Cosys #Tandil #AMBA #AnalistaECommerce #InnovaciónDigital #CrecimientoProfesional",,,MEMBER_NETWORK
2023-12-22 20:40:13,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3901022-7144064107002978305,"💡 ¡Inicia tu Trayectoria en Cosys Global! 💡""
""""
""¿Eres un Desarrollador Fullstack Java Angular Senior? ¡Esta es tu oportunidad de brillar con nosotros! 💻✨""
""""
""Requisitos:""
""""
""+2 años de experiencia en JQuery, Bootstrap, CSS, JavaScript y Angular.""
""Especialización en el desarrollo de aplicaciones web con tecnología Java.""
""Residencia en Madrid y disponibilidad para asistir presencialmente en eventos especiales.""
""Únete a un equipo que valora la innovación y el crecimiento profesional. Envía tu CV al siguiente link https://lnkd.in/dKcszem5""
""""
""¡Construyamos el futuro juntos! 🌐💼""
""#CosysOpportunity #BusquedaDeEmpleo #Empleoit #DesarrolladorFullstack #JavaAngular #InnovacionTecnologica #Madrid #Remoto #HomeOffice 🚀🏡",,,MEMBER_NETWORK
2023-12-22 20:40:02,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3901022-7144064062107168769,"¡Excelente oportunidad laboral en Cosys Global! 👩‍💻🌐""
""""
""Estamos en búsqueda de un Analista de E-Commerce para unirse a nuestro equipo innovador. 🚀""
""""
""Si buscas crecer profesionalmente, ¡esta es tu oportunidad! Envianos tu C.V a https://lnkd.in/d65baCnK""
""""
"" #CosysHiring #EmpleoIT #BusquedaDeEmpleo #Cosys #HomeOffice #Remoto #GrupoKELSOFT #Hiring #EmpleoDigital 🌟",,,MEMBER_NETWORK
2023-12-22 20:39:49,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4402740-7144064004863295488,"¡Excelente oportunidad laboral en Cosys Global! 👩‍💻🌐""
""""
""Estamos en búsqueda de un Analista de E-Commerce para unirse a nuestro equipo innovador. 🚀""
""""
""Si buscas crecer profesionalmente, ¡esta es tu oportunidad! Envianos tu C.V a https://lnkd.in/d65baCnK""
""""
"" #CosysHiring #EmpleoIT #BusquedaDeEmpleo #Cosys #HomeOffice #Remoto #GrupoKELSOFT #Hiring #EmpleoDigital 🌟",,,MEMBER_NETWORK
2023-12-22 20:39:30,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4402740-7144063925465128961,"💡 ¡Inicia tu Trayectoria en Cosys Global! 💡""
""""
""¿Eres un Desarrollador Fullstack Java Angular Senior? ¡Esta es tu oportunidad de brillar con nosotros! 💻✨""
""""
""Requisitos:""
""""
""+2 años de experiencia en JQuery, Bootstrap, CSS, JavaScript y Angular.""
""Especialización en el desarrollo de aplicaciones web con tecnología Java.""
""Residencia en Madrid y disponibilidad para asistir presencialmente en eventos especiales.""
""Únete a un equipo que valora la innovación y el crecimiento profesional. Envía tu CV al siguiente link https://lnkd.in/dKcszem5""
""""
""¡Construyamos el futuro juntos! 🌐💼""
""#CosysOpportunity #BusquedaDeEmpleo #Empleoit #DesarrolladorFullstack #JavaAngular #InnovacionTecnologica #Madrid #Remoto #HomeOffice 🚀🏡",,,MEMBER_NETWORK
2023-12-22 20:39:23,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6613456-7144063896046284800,"💡 ¡Inicia tu Trayectoria en Cosys Global! 💡""
""""
""¿Eres un Desarrollador Fullstack Java Angular Senior? ¡Esta es tu oportunidad de brillar con nosotros! 💻✨""
""""
""Requisitos:""
""""
""+2 años de experiencia en JQuery, Bootstrap, CSS, JavaScript y Angular.""
""Especialización en el desarrollo de aplicaciones web con tecnología Java.""
""Residencia en Madrid y disponibilidad para asistir presencialmente en eventos especiales.""
""Únete a un equipo que valora la innovación y el crecimiento profesional. Envía tu CV al siguiente link https://lnkd.in/dKcszem5""
""""
""¡Construyamos el futuro juntos! 🌐💼""
""#CosysOpportunity #BusquedaDeEmpleo #Empleoit #DesarrolladorFullstack #JavaAngular #InnovacionTecnologica #Madrid #Remoto #HomeOffice 🚀🏡",,,MEMBER_NETWORK
2023-12-22 20:39:10,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6613456-7144063842350776320,"¡Excelente oportunidad laboral en Cosys Global! 👩‍💻🌐""
""""
""Estamos en búsqueda de un Analista de E-Commerce para unirse a nuestro equipo innovador. 🚀""
""""
""Si buscas crecer profesionalmente, ¡esta es tu oportunidad! Envianos tu C.V a https://lnkd.in/d65baCnK""
""""
"" #CosysHiring #EmpleoIT #BusquedaDeEmpleo #Cosys #HomeOffice #Remoto #GrupoKELSOFT #Hiring #EmpleoDigital 🌟",,,MEMBER_NETWORK
2023-12-22 20:38:54,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13927947-7144063776399564800,"¡Excelente oportunidad laboral en Cosys Global! 👩‍💻🌐""
""""
""Estamos en búsqueda de un Analista de E-Commerce para unirse a nuestro equipo innovador. 🚀""
""""
""Si buscas crecer profesionalmente, ¡esta es tu oportunidad! Envianos tu C.V ahttps://lnkd.in/d65baCnK""
""""
"" #CosysHiring #EmpleoIT #BusquedaDeEmpleo #Cosys #HomeOffice #Remoto #GrupoKELSOFT #Hiring #EmpleoDigital 🌟",,,MEMBER_NETWORK
2023-12-22 20:38:27,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13927947-7144063663828615169,"💡 ¡Inicia tu Trayectoria en Cosys Global! 💡""
""""
""¿Eres un Desarrollador Fullstack Java Angular Senior? ¡Esta es tu oportunidad de brillar con nosotros! 💻✨""
""""
""Requisitos:""
""""
""+2 años de experiencia en JQuery, Bootstrap, CSS, JavaScript y Angular.""
""Especialización en el desarrollo de aplicaciones web con tecnología Java.""
""Residencia en Madrid y disponibilidad para asistir presencialmente en eventos especiales.""
""Únete a un equipo que valora la innovación y el crecimiento profesional. Envía tu CV al siguiente link https://lnkd.in/dKcszem5""
""""
""¡Construyamos el futuro juntos! 🌐💼""
""#CosysOpportunity #BusquedaDeEmpleo #Empleoit #DesarrolladorFullstack #JavaAngular #InnovacionTecnologica #Madrid #Remoto #HomeOffice 🚀🏡",,,MEMBER_NETWORK
