Date,Type,Link
2023-12-11 19:20:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7139959273849090048
2023-12-11 19:20:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A879847-7135715487195279360
2023-12-11 19:19:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136090852958908417
2023-12-11 19:19:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137528127861239809
2023-12-11 19:19:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A879847-7137528522880823296
2023-12-11 19:19:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A8675609-7137528573405347840
2023-12-11 19:19:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A8978502-7135713913479778304
2023-12-11 19:19:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137546506529611777
2023-12-09 22:32:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7139280208527884288
2023-12-08 13:10:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7138567101388152832
2023-12-04 20:45:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137450653349560321
2023-12-04 20:45:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137482360412848132
2023-12-04 20:45:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2724631-7137528260770287616
2023-12-01 18:43:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7136347345394294784
2023-12-01 18:42:44,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7136009138039402498
2023-11-29 18:14:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135537204612743168
2023-11-29 18:14:03,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135334941482991616?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7135334941482991616%2C7135636670460141568%29
2023-11-29 02:35:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7132469991278325761
2023-11-29 02:35:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135431514321793025
2023-11-28 19:03:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2724631-7134968969282658304
2023-11-28 19:02:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7135328973709791232
2023-11-28 19:02:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6613456-7134968234474127360
2023-11-28 19:02:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3732032-7135336345979224064
2023-11-28 19:02:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4449284-7134968431220580352
2023-11-28 19:02:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7134997623458967554
2023-11-28 19:02:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135335908660174849
2023-11-28 19:00:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135279686846140417
